TS_ID,TS_GROUP,TRAINING_WINDOW,PREDICTION_WINDOW,MODEL,TS_METRIC,RMSE,SMAPE,R2_SCORE,TRAINING_TIME,PREDICTION_TIME,N_SAMPLES,N_MISSING
0,institutions,24,24,GRU,n_bytes,20569102856.916695,27.73821088240868,0.6304909267352812,0.3179280757904053,0.0,168,0
1,institutions,24,24,GRU,n_bytes,20684855461.562836,34.88536111021655,0.18833107322246045,0.09905338287353516,0.0,168,0
2,institutions,24,24,GRU,n_bytes,35895746272.041756,31.717445866173932,0.15903460413629333,0.09105181694030762,0.0,168,0
3,institutions,24,24,GRU,n_bytes,8929115846.452038,37.00345199982545,0.5252062700180178,0.1166229248046875,0.0,168,0
4,institutions,24,24,GRU,n_bytes,125600153.71874537,115.44081806679391,0.30900648674372455,0.1579883098602295,0.0,168,0
5,institutions,24,24,GRU,n_bytes,1080495985.4670718,110.00904797685875,0.14879281206016948,0.2454817295074463,0.0,168,0
6,institutions,24,24,GRU,n_bytes,202200844.92075226,116.73721409227224,-0.1304006298941509,0.07688570022583008,0.0,168,0
7,institutions,24,24,GRU,n_bytes,287889685.6398319,150.8734469935823,0.21702246233842826,0.1146097183227539,0.0,168,0
8,institutions,24,24,GRU,n_bytes,93967681.06249785,161.10778456276438,-0.06529993752594687,0.16140508651733398,0.0,168,0
9,institutions,24,24,GRU,n_bytes,4431910524.951384,57.40622480936219,0.18707853203935132,0.18697524070739746,0.0,168,0
10,institutions,24,24,GRU,n_bytes,1454952613.5402951,64.87629143267732,0.630576776533941,0.13451123237609863,0.0,168,0
11,institutions,24,24,GRU,n_bytes,1450899737.0809257,127.60039319884639,0.007574641837405749,0.07369160652160645,0.0,168,0
12,institutions,24,24,GRU,n_bytes,710108780.4423956,78.7367794120792,0.18790443422645153,0.20853686332702637,0.0,168,0
13,institutions,24,24,GRU,n_bytes,1020306410.607324,112.43709683829873,-0.48838425677358566,0.10080289840698242,0.0,168,0
14,institutions,24,24,GRU,n_bytes,510909569.74361634,129.27925401897278,-0.14565666390279208,0.11140894889831543,0.0,168,0
15,institutions,24,24,GRU,n_bytes,355274897.7765696,104.62714163528494,0.08203542918174789,0.13199520111083984,0.0,168,0
16,institutions,24,24,GRU,n_bytes,232506279.98747095,91.94887387081306,0.18079882228697197,0.08557367324829102,0.0,168,0
17,institutions,24,24,GRU,n_bytes,617641615.0191222,82.91099214374655,0.007942928850121045,0.11482000350952148,0.0,168,0
18,institutions,24,24,GRU,n_bytes,127648955.15268594,102.51106667600611,0.10796179264985084,0.0979149341583252,0.0,168,0
19,institutions,24,24,GRU,n_bytes,718259849.7283363,131.60899778923076,-0.014814314460203981,0.09788179397583008,0.0,168,0
20,institutions,24,24,GRU,n_bytes,207043991.65924883,93.42645076455422,0.0104933471008275,0.12518072128295898,0.0,168,0
21,institutions,24,24,GRU,n_bytes,2846339230.441415,198.71219786700468,-0.05701157976644722,0.14239025115966797,0.0,168,0
22,institutions,24,24,GRU,n_bytes,2496461570.4775987,50.00223633108957,0.3159679627768237,0.0867166519165039,0.0,168,0
23,institutions,24,24,GRU,n_bytes,4314439078.092225,35.19251718255478,0.6497968692004417,0.1316680908203125,0.0,168,0
24,institutions,24,24,GRU,n_bytes,441341684.78068537,63.572093385450565,-0.22857007382696004,0.15484952926635742,0.0,168,0
25,institutions,24,24,GRU,n_bytes,336767774.3238127,55.20010064402223,0.11847546664145903,0.10842466354370117,0.0,168,0
26,institutions,24,24,GRU,n_bytes,755895855.7099955,62.80064471534188,0.0957232347253778,0.11373496055603027,0.0,168,0
27,institutions,24,24,GRU,n_bytes,906026607.8746197,45.940959267923816,0.04612868104303569,0.1194295883178711,0.0,168,0
28,institutions,24,24,GRU,n_bytes,382791749.7847763,57.32342964289789,0.012502121047935355,0.1513218879699707,0.0,168,0
29,institutions,24,24,GRU,n_bytes,685859129.6607383,61.58850228936764,0.15343518788793786,0.09052586555480957,0.0,168,0
30,institutions,24,24,GRU,n_bytes,375912421.05055255,52.93097574247767,-0.03357262846224485,0.11553072929382324,0.0,168,0
