TS_ID,TS_GROUP,TRAINING_WINDOW,PREDICTION_WINDOW,MODEL,TS_METRIC,RMSE,SMAPE,R2_SCORE,TRAINING_TIME,PREDICTION_TIME,N_SAMPLES,N_MISSING
0,institutions,24,24,LSTM,n_bytes,20283097045.002983,29.025347358091473,0.6406952618833454,0.45354342460632324,0.0,168,0
1,institutions,24,24,LSTM,n_bytes,17893248712.957664,30.015237769678897,0.3926313994393825,0.4020817279815674,0.0,168,0
2,institutions,24,24,LSTM,n_bytes,35508520187.89679,32.06702517705271,0.17708060270717618,0.3073890209197998,0.0,168,0
3,institutions,24,24,LSTM,n_bytes,9181189644.671143,39.04242272884868,0.4980205060729126,0.33471107482910156,0.0,168,0
4,institutions,24,24,LSTM,n_bytes,124933092.19096239,125.77447582603554,0.3163267194547035,0.2614130973815918,0.0,168,0
5,institutions,24,24,LSTM,n_bytes,1088646166.8811083,140.0899719906223,0.13590306910546712,0.1795971393585205,0.0,168,0
6,institutions,24,24,LSTM,n_bytes,195597914.60651734,111.24769329526465,-0.057778898774705434,0.138441801071167,0.0,168,0
7,institutions,24,24,LSTM,n_bytes,305802124.2853934,148.66849920059823,0.11655790714973091,0.15876388549804688,0.0,168,0
8,institutions,24,24,LSTM,n_bytes,84796363.55589868,156.49856580204175,0.13250028854465778,0.13720083236694336,0.0,168,0
9,institutions,24,24,LSTM,n_bytes,4381693189.077882,52.28495612929295,0.2053963531381935,0.2784140110015869,0.0,168,0
10,institutions,24,24,LSTM,n_bytes,2109182003.2313483,83.93044818774217,0.22365526943263003,0.1504521369934082,0.0,168,0
11,institutions,24,24,LSTM,n_bytes,1445144713.4454494,127.84460110679919,0.015431978897954335,0.20564818382263184,0.0,168,0
12,institutions,24,24,LSTM,n_bytes,740281534.2000995,99.71426232218276,0.11742584321492644,0.11355876922607422,0.0,168,0
13,institutions,24,24,LSTM,n_bytes,931176409.4380566,110.05455327522719,-0.23970332753674484,0.17937946319580078,0.0,168,0
14,institutions,24,24,LSTM,n_bytes,470594222.98073274,127.1537077731403,0.028014930945425398,0.29158806800842285,0.0,168,0
15,institutions,24,24,LSTM,n_bytes,358020162.17085344,107.52968565159222,0.0677941084606154,0.19666337966918945,0.0,168,0
16,institutions,24,24,LSTM,n_bytes,232665731.75213048,90.06544569383558,0.17967482801237733,0.11410117149353027,0.0,168,0
17,institutions,24,24,LSTM,n_bytes,598617332.554581,84.71545876236878,0.0681154060431799,0.15092897415161133,0.0,168,0
18,institutions,24,24,LSTM,n_bytes,123128989.65629356,99.27065016884285,0.17001630771891518,0.12901020050048828,0.0,168,0
19,institutions,24,24,LSTM,n_bytes,715246479.3137548,132.79204040374682,-0.006317120364879747,0.23020577430725098,0.0,168,0
20,institutions,24,24,LSTM,n_bytes,207183024.69651672,93.68003884703083,0.009163964820749326,0.08968305587768555,0.0,168,0
21,institutions,24,24,LSTM,n_bytes,2749810103.89466,196.02415041282435,0.013466505952885233,0.21466326713562012,0.0,168,0
22,institutions,24,24,LSTM,n_bytes,2605758982.0520735,51.54418050815218,0.2547617120039958,0.29189085960388184,0.0,168,0
23,institutions,24,24,LSTM,n_bytes,4320517316.202396,35.071683135899164,0.6488094326462108,0.44983863830566406,0.0,168,0
24,institutions,24,24,LSTM,n_bytes,411395186.8088192,62.446581758982965,-0.06750138653920801,0.15697383880615234,0.0,168,0
25,institutions,24,24,LSTM,n_bytes,332550827.471819,55.166453512048605,0.14041383744446767,0.29892873764038086,0.0,168,0
26,institutions,24,24,LSTM,n_bytes,793880487.1828808,63.03727966052085,0.002557891566508319,0.12252044677734375,0.0,168,0
27,institutions,24,24,LSTM,n_bytes,862624666.5397978,44.46262026840231,0.13532753066417513,0.47614526748657227,0.0,168,0
28,institutions,24,24,LSTM,n_bytes,371229731.4992679,54.25396459283066,0.07125489877113966,0.3176267147064209,0.0,168,0
29,institutions,24,24,LSTM,n_bytes,740472637.6445249,63.6053937051285,0.013247138418561843,0.19465255737304688,0.0,168,0
30,institutions,24,24,LSTM,n_bytes,366342995.8514936,50.46913078190634,0.018379922281534844,0.17726349830627441,0.0,168,0
31,institutions,24,24,LSTM,n_bytes,1288202452.4131591,55.513898104954364,0.04804836044604521,0.26016855239868164,0.0,168,0
32,institutions,24,24,LSTM,n_bytes,1009880980.3279004,40.28580625205851,0.07412611723734508,0.18256783485412598,0.0,168,0
33,institutions,24,24,LSTM,n_bytes,1523325150.5151436,50.423084869566516,0.09890129595409836,0.13169336318969727,0.0,168,0
34,institutions,24,24,LSTM,n_bytes,1371159380.1801283,76.87894579952118,0.29618664700492636,0.2108457088470459,0.0,168,0
35,institutions,24,24,LSTM,n_bytes,148395948.39804047,88.89302734599272,0.1848879091921275,0.12662816047668457,0.0,168,0
36,institutions,24,24,LSTM,n_bytes,685599567.3117613,65.91162407803579,0.13650758647388006,0.13960981369018555,0.0,168,0
37,institutions,24,24,LSTM,n_bytes,6324.5381806376345,58.50882660963642,-2.5455107629867686,0.14217758178710938,0.0,168,0
38,institutions,24,24,LSTM,n_bytes,526531313.94581234,122.68761606038878,0.06125822349474497,0.15539121627807617,0.0,168,0
39,institutions,24,24,LSTM,n_bytes,1756564942.4720097,121.10054681774416,0.14673980949353327,0.15256285667419434,0.0,168,0
40,institutions,24,24,LSTM,n_bytes,259173179.48758462,84.41355155867618,0.35376616292566976,0.3577113151550293,0.0,168,0
41,institutions,24,24,LSTM,n_bytes,477412113.1524891,97.16306504757307,0.34155196521607845,0.26233506202697754,0.0,168,0
42,institutions,24,24,LSTM,n_bytes,191565233.7552094,101.92730414506957,0.23154165906218405,0.18732452392578125,0.0,168,0
43,institutions,24,24,LSTM,n_bytes,324426431.2624928,129.7934805084765,0.12821362674037518,0.17147254943847656,0.0,168,0
45,institutions,24,24,LSTM,n_bytes,339337410.15672415,123.96517244263778,0.25044163047497714,0.13287711143493652,0.0,168,0
46,institutions,24,24,LSTM,n_bytes,255135676.23624873,122.74323907898383,0.1841250173327149,0.23597478866577148,0.0,168,0
47,institutions,24,24,LSTM,n_bytes,28617.74742734586,68.55185101241587,-0.6204682057824438,0.28203582763671875,0.0,168,0
48,institutions,24,24,LSTM,n_bytes,15315769855.253857,29.335451055750493,0.5157992919759267,0.3877828121185303,0.0,168,0
49,institutions,24,24,LSTM,n_bytes,41304974241.12241,52.25500405804282,0.06282133871203843,0.19515514373779297,0.0,168,0
50,institutions,24,24,LSTM,n_bytes,6291942069.238236,39.833635320625284,0.5177320930809203,0.22168803215026855,0.0,168,0
51,institutions,24,24,LSTM,n_bytes,11088252.997325517,155.29630057253289,-0.09087335640245953,0.10669732093811035,0.0,168,0
52,institutions,24,24,LSTM,n_bytes,3227706691.6768703,48.58069350025993,0.41766739220037474,0.3939981460571289,0.0,168,0
53,institutions,24,24,LSTM,n_bytes,6495205260.522221,33.51315741781518,0.6346393258248114,0.2982518672943115,0.0,168,0
54,institutions,24,24,LSTM,n_bytes,279643954.31884634,118.02166241350996,0.162060505268959,0.11613297462463379,0.0,168,0
55,institutions,24,24,LSTM,n_bytes,2561044797.5388317,38.19609918527788,0.4662230416533968,0.27699708938598633,0.0,168,0
56,institutions,24,24,LSTM,n_bytes,4747994838.213243,46.64634836095295,0.46168309015860554,0.2523627281188965,0.0,168,0
57,institutions,24,24,LSTM,n_bytes,6663986533.0115795,39.735966572625514,0.47940105160809177,0.22417640686035156,0.0,168,0
58,institutions,24,24,LSTM,n_bytes,164594893.18160626,105.82075948325998,0.17212794074600435,0.2244725227355957,0.0,168,0
59,institutions,24,24,LSTM,n_bytes,4155090633.654898,45.28130386556372,0.4320656261902307,0.27782559394836426,0.0,168,0
60,institutions,24,24,LSTM,n_bytes,1132451275.4767928,47.70754982306279,0.09242899288988271,0.1408672332763672,0.0,168,0
61,institutions,24,24,LSTM,n_bytes,25377772793.541115,35.77468360858041,0.07579171381419325,0.2732574939727783,0.0,168,0
62,institutions,24,24,LSTM,n_bytes,554046680.0904579,148.41481343533886,0.19326794599692687,0.20783329010009766,0.0,168,0
63,institutions,24,24,LSTM,n_bytes,289432134.5357364,134.83362429228106,0.20139265800695405,0.16575837135314941,0.0,168,0
64,institutions,24,24,LSTM,n_bytes,410720185.64782083,95.30263293043576,0.2959891224200468,0.3963172435760498,0.0,168,0
65,institutions,24,24,LSTM,n_bytes,450038823.5954551,115.00924932507206,0.21666649527537907,0.15683484077453613,0.0,168,0
66,institutions,24,24,LSTM,n_bytes,659003706.9653379,70.5728786838691,0.12763963923593935,0.17166852951049805,0.0,168,0
67,institutions,24,24,LSTM,n_bytes,2645643562.7116847,58.23586444711476,0.230991225025724,0.28679537773132324,0.0,168,0
68,institutions,24,24,LSTM,n_bytes,4572149485.081223,35.80462981048696,0.4714966782243678,0.298886775970459,0.0,168,0
69,institutions,24,24,LSTM,n_bytes,1007248295.6781927,73.4988487557588,0.2176916997168653,0.1376645565032959,0.0,168,0
70,institutions,24,24,LSTM,n_bytes,577857377.4287249,124.00564709334316,0.3758217953999131,0.3308401107788086,0.0,168,0
71,institutions,24,24,LSTM,n_bytes,154808127.74025303,116.78838754874967,0.24726010566223466,0.11152529716491699,0.0,168,0
72,institutions,24,24,LSTM,n_bytes,90171550.92920923,145.45308225564696,0.22361304216279765,0.16048216819763184,0.0,168,0
73,institutions,24,24,LSTM,n_bytes,538989234.229284,160.94614954046483,0.22827167316082642,0.30765867233276367,0.0,168,0
74,institutions,24,24,LSTM,n_bytes,2210215659.650435,52.04902469002269,0.35423036175731004,0.36446332931518555,0.0,168,0
75,institutions,24,24,LSTM,n_bytes,2620777051.56349,50.53561887043136,0.058149591337321116,0.3165743350982666,0.0,168,0
76,institutions,24,24,LSTM,n_bytes,385446514.8274324,131.12846210809545,0.2156783442754333,0.274477481842041,0.0,168,0
77,institutions,24,24,LSTM,n_bytes,245606640.65457174,79.06679057413052,-0.05477525810561179,0.12564921379089355,0.0,168,0
78,institutions,24,24,LSTM,n_bytes,2277138384.9579697,74.49324216134822,-0.0253928126766072,0.09508395195007324,0.0,168,0
79,institutions,24,24,LSTM,n_bytes,355441491.5694589,66.81179100067604,0.1095709041225974,0.13094687461853027,0.0,168,0
80,institutions,24,24,LSTM,n_bytes,2469383871.8423886,34.7391831462203,0.3975333989206481,0.15687155723571777,0.0,168,0
81,institutions,24,24,LSTM,n_bytes,218119526.5283526,62.68173649058543,0.17691351753692697,0.4517478942871094,0.0,168,0
82,institutions,24,24,LSTM,n_bytes,108154058.60626207,131.57707605667727,0.09540671970027215,0.14840316772460938,0.0,168,0
83,institutions,24,24,LSTM,n_bytes,618279291.2818663,99.69345250109815,-0.12457855488886138,0.2236623764038086,0.0,168,0
84,institutions,24,24,LSTM,n_bytes,251812832.09528682,61.06896189753343,0.015605955923012504,0.5029482841491699,0.0,168,0
85,institutions,24,24,LSTM,n_bytes,236392743.82750925,72.15766398526289,0.0716998179311783,0.1474316120147705,0.0,168,0
86,institutions,24,24,LSTM,n_bytes,779846980.9936136,78.03573825561979,0.20634471242064933,0.15987634658813477,0.0,168,0
87,institutions,24,24,LSTM,n_bytes,2014963744.224973,72.68681645040508,-0.006591805178886689,0.10979533195495605,0.0,168,0
88,institutions,24,24,LSTM,n_bytes,501244292.40406513,91.40151993364887,0.4910859460264445,0.3345203399658203,0.0,168,0
89,institutions,24,24,LSTM,n_bytes,2040686591.531638,91.93491423792271,-0.07041229844001773,0.1384749412536621,0.0,168,0
90,institutions,24,24,LSTM,n_bytes,1204411535.813311,50.02677117964337,0.2301303042555759,0.34163451194763184,0.0,168,0
91,institutions,24,24,LSTM,n_bytes,517169230.1706451,115.54877635493519,0.1627062567545423,0.337324857711792,0.0,168,0
92,institutions,24,24,LSTM,n_bytes,153956432.81583703,145.8326116870192,0.02831337965405767,0.18410730361938477,0.0,168,0
93,institutions,24,24,LSTM,n_bytes,1397488409.9325473,140.69520159286304,0.28288428660062914,0.23549652099609375,0.0,168,0
94,institutions,24,24,LSTM,n_bytes,1254152804.6450484,48.98148841065795,0.40653028770405364,0.33985042572021484,0.0,168,0
95,institutions,24,24,LSTM,n_bytes,743952025.4035218,53.24922583264859,0.2634257868379035,0.2952759265899658,0.0,168,0
96,institutions,24,24,LSTM,n_bytes,295323611.96878445,91.4274784729525,0.21815368659604417,0.3400912284851074,0.0,168,0
97,institutions,24,24,LSTM,n_bytes,2340379593.055866,64.08431090589495,0.09167884607462407,0.14340758323669434,0.0,168,0
