TS_ID,TS_GROUP,TRAINING_WINDOW,PREDICTION_WINDOW,MODEL,TS_METRIC,RMSE,SMAPE,R2_SCORE,TRAINING_TIME,PREDICTION_TIME,N_SAMPLES,N_MISSING
0,institutions,24,24,Mean,n_bytes,33533659476.480843,49.52765748630776,-0.3656056874804592,0.0,0.0,10,0
0,institutions,24,24,SARIMA,n_bytes,14593322094.579523,25.509563129440938,0.741374255923567,12.188339948654175,0.0,10,0
1,institutions,24,24,Mean,n_bytes,24951057871.13462,49.93958598897065,-1.3421792143963986,0.0,0.0,10,0
1,institutions,24,24,SARIMA,n_bytes,16784005374.052835,36.74110719040814,-0.05982318328953862,11.904420375823975,0.0,10,0
2,institutions,24,24,Mean,n_bytes,37208524331.91507,41.72552868014998,-0.4514434051122391,0.0,0.0,10,0
2,institutions,24,24,SARIMA,n_bytes,43458595542.238464,46.660924061840184,-0.9800063703271666,15.669242858886719,0.0,10,0
3,institutions,24,24,Mean,n_bytes,13716092212.266148,58.28991081740361,-0.867010665399947,0.0,0.0,10,0
3,institutions,24,24,SARIMA,n_bytes,8550559900.549127,36.83361206462496,0.2744370230045543,14.695852041244507,0.0,10,0
4,institutions,24,24,Mean,n_bytes,141156746.61717257,151.3834293136648,-0.006191225713739534,0.0,0.0,10,0
4,institutions,24,24,SARIMA,n_bytes,114533651.8417255,99.68362781777344,0.33756470815346995,14.488632917404175,0.0,10,0
5,institutions,24,24,Mean,n_bytes,822590428.385282,156.714843987125,-0.00046185695722922304,0.0,0.0,10,0
5,institutions,24,24,SARIMA,n_bytes,663190910.7074349,87.78759076937675,0.34970507775660753,15.514147281646729,0.0,10,0
6,institutions,24,24,Mean,n_bytes,181945921.3466472,110.21053675985006,-0.14183302630137584,0.0,0.0,10,0
6,institutions,24,24,SARIMA,n_bytes,157608036.16221264,96.37903533789424,0.14320945232112892,22.198396921157837,0.0,10,0
7,institutions,24,24,Mean,n_bytes,301437089.7466919,165.77725643011726,-0.02498886344870699,0.0,0.0,10,0
7,institutions,24,24,SARIMA,n_bytes,243044725.26608598,109.34464028724842,0.33365649229810423,21.088537454605103,0.0,10,0
8,institutions,24,24,Mean,n_bytes,88493813.96259715,168.55834700276384,-0.025461119261007026,0.0,0.0,10,0
8,institutions,24,24,SARIMA,n_bytes,76789289.72690487,132.54794741033166,0.2278624492739817,19.53412938117981,0.0,10,0
9,institutions,24,24,Mean,n_bytes,4716033214.818004,65.62967347190974,-0.21408608922766947,0.0,0.0,10,0
9,institutions,24,24,SARIMA,n_bytes,3891306967.202725,41.88426013115148,0.17341645381723236,17.443623781204224,0.0,10,0
